City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
232,marawi,PH,8.0,124.29,1579645398.0,68.0,79.0,0.0,8.01
233,salvador,SV,13.83,-88.92,1579645399.0,93.2,45.0,20.0,13.87
234,krasnogorskoye,RU,52.3,86.2,1579645400.0,15.96,95.0,100.0,3.42
235,ucluelet,CA,48.93,-125.55,1579645169.0,48.0,93.0,75.0,10.29
236,enniskerry,IE,53.19,-6.17,1579645402.0,46.99,100.0,90.0,8.05
237,sampit,ID,-2.53,112.95,1579645403.0,75.79,95.0,43.0,0.6
238,japura,ID,-0.32,102.35,1579645405.0,74.32,98.0,100.0,2.04
239,nantucket,US,41.28,-70.1,1579645406.0,28.99,74.0,40.0,9.17
240,sand springs,US,36.14,-96.11,1579645407.0,43.0,52.0,90.0,13.87
241,chabahar,IR,25.29,60.64,1579645408.0,64.4,82.0,0.0,5.06
242,grass valley,US,39.22,-121.06,1579645409.0,55.99,100.0,90.0,5.82
243,narasannapeta,IN,18.42,84.05,1579645410.0,67.03,94.0,19.0,3.87
244,myre,NO,69.1,15.95,1579645411.0,35.6,69.0,75.0,14.99
245,hulan,CN,45.98,126.6,1579645412.0,-2.2,91.0,100.0,2.24
246,oranjemund,NA,-28.55,16.43,1579645413.0,66.61,79.0,0.0,3.27
247,orchard homes,US,46.86,-114.05,1579645414.0,39.2,64.0,75.0,4.23
248,pozo colorado,PY,-23.49,-58.8,1579645416.0,80.37,78.0,100.0,17.83
250,moindou,NC,-21.69,165.68,1579645417.0,82.4,45.0,0.0,3.36
251,kushima,JP,31.46,131.23,1579645418.0,46.4,86.0,75.0,5.82
252,batagay,RU,67.63,134.63,1579645419.0,-31.9,95.0,80.0,2.08
253,san quintin,MX,30.48,-115.95,1579645420.0,59.88,75.0,86.0,6.11
254,chitral,PK,35.85,71.79,1579645421.0,6.57,89.0,100.0,2.06
255,caravelas,BR,-17.71,-39.25,1579645422.0,80.22,81.0,100.0,16.37
